Model,Feature Modification,Learning Rate,CKD Cross-Validation Accuracy,Battery Cross-Validation Accuracy
1,None,0.1,63.6363636363636,85.2054794520548
2,None,0.001,65.7575757575758,87.8082191780822
3,None,0.00001,66.6666666666667,88.3561643835617
4,None,10/(k+1),66.6666666666667,87.8082191780822
5,None,0.1/(k+1),67.2727272727273,87.6712328767123
6,None,0.001/(k+1),66.6666666666667,88.3561643835617
7,None,1/(k+1),66.3636363636364,87.6712328767123
8,Add Quadratic Terms,1/(k+1),65.4545454545455,86.8493150684932
9,Add Quadradic and Cubic Terms,1/(k+1),66.3636363636364,87.3972602739726
10,Remove if w < 30% of avg,1/(k+1),68.1818181818182,88.7671232876712
11,Remove if w < 120% of avg,1/(k+1),70,89.041095890411

